Techstack,Links
"React, Node.js, MongoDB, Express",https://www.toptal.com/portfolio
"Python, Django, PostgreSQL, Redis",https://www.thoughtworks.com/clients
"Angular, TypeScript, Firebase, GraphQL",https://www.epam.com/our-work
"Vue.js, Laravel, MySQL, Docker",https://www.cognizant.com/us/en/services/digital-engineering
"React Native, Swift, Kotlin, Firebase",https://www.infosys.com/services/digital-experience.html
"TensorFlow, PyTorch, Scikit-learn, Pandas",https://www.accenture.com/us-en/services/applied-intelligence-index
"Spring Boot, Java, Hibernate, Oracle",https://www.tcs.com/digital-transformation-services
"ASP.NET Core, C#, SQL Server, Azure",https://www.capgemini.com/solutions/digital-services/
"Flutter, Dart, Go, Kubernetes",https://www.wipro.com/digital/
"Elasticsearch, Logstash, Kibana, Hadoop",https://www.hcltech.com/digital-analytics-servicesc
